id,@id,electrified,frequency,gauge,operator,railway,railway:block,tracks,usage,voltage,@timestamp,@version,@changeset,@user,@uid,bridge,layer,maxspeed,name,tunnel,year_of_construction,passenger_lines,railway:track_ref,service,railway:traffic_mode,covered,railway:ref,description,ele,light_rail,local_ref,network,public_transport,train,uic_name,uic_ref,ref,old_name,crossing:barrier,crossing:light,crossing:bell,supervised,railway:signal:main:form,crossing,horse,start_date
way/326736692,way/326736692,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:40,"10","72064035",sovereign_ch,"5755216",,,"80",,,,"2","8",,,,,,,,,,,,,,,,,,,,,,,
way/326736693,way/326736693,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"8","72064035",sovereign_ch,"5755216",,,"80",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,
way/326736694,way/326736694,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"8","72064035",sovereign_ch,"5755216",,,"80",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,
way/326736695,way/326736695,contact_line,"0","1000",AVA,narrow_gauge,"104",,branch,"750",2019/07/09 17:05:40,"9","72064035",sovereign_ch,"5755216",,,"80",,,,,"7",,,,,,,,,,,,,,,,,,,,,,,
way/326741877,way/326741877,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,"80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326741878,way/326741878,contact_line,"0","1000",AVA,narrow_gauge,"203","1",branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,"80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326741879,way/326741879,contact_line,"0","1000",AVA,narrow_gauge,"103","1",branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,"80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326741880,way/326741880,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,"80",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,
way/326741881,way/326741881,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,"80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326741882,way/326741882,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,"80",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,
way/326741883,way/326741883,contact_line,"0","1000",AVA,narrow_gauge,"103","1",branch,"750",2019/07/09 17:05:40,"8","72064035",sovereign_ch,"5755216",,,"80",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,
way/326741884,way/326741884,contact_line,"0","1000",AVA,narrow_gauge,"203","1",branch,"750",2019/07/09 17:05:40,"8","72064035",sovereign_ch,"5755216",,,"80",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,
